description,industry,level,size,line_code,value,standard
Type of internet connection used: fibre to the premise,"Printing, publishing, & recorded media",2,total,B0402,162,Low
Type of internet connection used: fibre to the premise,"Petroleum, coal, chemical, & associated product",2,total,B0402,336,Low
Type of internet connection used: fibre to the premise,Non-metallic mineral product,2,total,B0402,129,Low
Type of internet connection used: fibre to the premise,Metal product,2,total,B0402,699,Low
Type of internet connection used: fibre to the premise,Transport and industrial machinery & equipment,2,total,B0402,654,Low
Type of internet connection used: fibre to the premise,Other machinery & equipment,2,total,B0402,204,Low
Type of internet connection used: fibre to the premise,Other manufacturing,2,total,B0402,282,Low
Type of internet connection used: fibre to the premise,"Electricity, gas, water, & waste services",1,total,B0402,138,Low
Type of internet connection used: fibre to the premise,Construction,1,total,B0402,4125,High
Type of internet connection used: fibre to the premise,Wholesale trade,1,total,B0402,2379,High
Type of internet connection used: fibre to the premise,Machinery & equipment wholesaling,2,total,B0402,747,Low
Type of internet connection used: fibre to the premise,Other wholesale trade,2,total,B0402,1629,High
Type of internet connection used: fibre to the premise,Retail trade,1,total,B0402,3339,High
Type of internet connection used: fibre to the premise,Accommodation & food services,1,total,B0402,3816,High
Type of internet connection used: fibre to the premise,"Transport, postal, & warehousing",1,total,B0402,915,Low
Type of internet connection used: fibre to the premise,Information media & telecommunications,1,total,B0402,318,Low
Type of internet connection used: fibre to the premise,Publishing,2,total,B0402,120,Low
Type of internet connection used: fibre to the premise,Motion picture,2,total,B0402,96,Low
Type of internet connection used: fibre to the premise,Telecommunications,2,total,B0402,96,Low
Type of internet connection used: fibre to the premise,Financial & insurance services,1,total,B0402,507,Low
Type of internet connection used: fibre to the premise,Finance,2,total,B0402,132,Low
Type of internet connection used: fibre to the premise,Insurance,2,total,B0402,24,Low
Type of internet connection used: fibre to the premise,Auxiliary,2,total,B0402,351,Low
Type of internet connection used: fibre to the premise,"Rental, hiring, & real estate services",1,total,B0402,699,Low
Type of internet connection used: fibre to the premise,"Professional, scientific, & technical services",1,total,B0402,3945,High
Type of internet connection used: fibre to the premise,Computer systems design,2,total,B0402,702,Low
Type of internet connection used: fibre to the premise,Other professional scientific,2,total,B0402,3246,High
Type of internet connection used: fibre to the premise,Administrative & support services,1,total,B0402,1029,High
Type of internet connection used: fibre to the premise,Education & training,1,total,B0402,759,Low
Type of internet connection used: fibre to the premise,Health care & social assistance,1,total,B0402,1884,High
Type of internet connection used: fibre to the premise,Arts & recreation services,1,total,B0402,354,Low
Type of internet connection used: fibre to the premise,Other services,1,total,B0402,867,Low
Type of internet connection used: fibre to the premise,total,0,total,B0402,29529,High
Type of internet connection used: hyperfibre,total,0,6–19 employees,B0403,1191,High
Type of internet connection used: hyperfibre,total,0,20–49 employees,B0403,381,Low
Type of internet connection used: hyperfibre,total,0,50–99 employees,B0403,165,Low
Type of internet connection used: hyperfibre,total,0,100+ employees,B0403,198,Low
Type of internet connection used: hyperfibre,"Agriculture, forestry, & fishing",1,total,B0403,6,Low
Type of internet connection used: hyperfibre,Agriculture,2,total,B0403,0,Low
Type of internet connection used: hyperfibre,Commercial fishing,2,total,B0403,0,Low
Type of internet connection used: hyperfibre,Forestry & logging,2,total,B0403,3,Low
Type of internet connection used: hyperfibre,"Agriculture, forestry, & fishing support services",2,total,B0403,3,Low
Type of internet connection used: hyperfibre,Mining,1,total,B0403,9,Low
Type of internet connection used: hyperfibre,Manufacturing,1,total,B0403,174,Low
Type of internet connection used: hyperfibre,"Food, beverage, & tobacco",2,total,B0403,18,Low
Type of internet connection used: hyperfibre,"Textile, clothing, footwear, & leather",2,total,B0403,9,Low
Type of internet connection used: hyperfibre,Wood & paper product,2,total,B0403,24,Low
Type of internet connection used: hyperfibre,"Printing, publishing, & recorded media",2,total,B0403,9,Low
Type of internet connection used: hyperfibre,"Petroleum, coal, chemical, & associated product",2,total,B0403,21,Low
Type of internet connection used: hyperfibre,Non-metallic mineral product,2,total,B0403,6,Low
Type of internet connection used: hyperfibre,Metal product,2,total,B0403,42,Low
Type of internet connection used: hyperfibre,Transport and industrial machinery & equipment,2,total,B0403,21,Low
Type of internet connection used: hyperfibre,Other machinery & equipment,2,total,B0403,18,Low
Type of internet connection used: hyperfibre,Other manufacturing,2,total,B0403,12,Low
Type of internet connection used: hyperfibre,"Electricity, gas, water, & waste services",1,total,B0403,15,Low
Type of internet connection used: hyperfibre,Construction,1,total,B0403,45,Low
Type of internet connection used: hyperfibre,Wholesale trade,1,total,B0403,210,Low
Type of internet connection used: hyperfibre,Machinery & equipment wholesaling,2,total,B0403,93,Low
Type of internet connection used: hyperfibre,Other wholesale trade,2,total,B0403,117,Low
Type of internet connection used: hyperfibre,Retail trade,1,total,B0403,312,Low
Type of internet connection used: hyperfibre,Accommodation & food services,1,total,B0403,318,Low
Type of internet connection used: hyperfibre,"Transport, postal, & warehousing",1,total,B0403,36,Low
Type of internet connection used: hyperfibre,Information media & telecommunications,1,total,B0403,75,Low
Type of internet connection used: hyperfibre,Publishing,2,total,B0403,18,Low
Type of internet connection used: hyperfibre,Motion picture,2,total,B0403,15,Low
Type of internet connection used: hyperfibre,Telecommunications,2,total,B0403,42,Low
Type of internet connection used: hyperfibre,Financial & insurance services,1,total,B0403,72,Low
Type of internet connection used: hyperfibre,Finance,2,total,B0403,27,Low
Type of internet connection used: hyperfibre,Insurance,2,total,B0403,9,Low
Type of internet connection used: hyperfibre,Auxiliary,2,total,B0403,39,Low
Type of internet connection used: hyperfibre,"Rental, hiring, & real estate services",1,total,B0403,36,Low
Type of internet connection used: hyperfibre,"Professional, scientific, & technical services",1,total,B0403,303,Low
Type of internet connection used: hyperfibre,Computer systems design,2,total,B0403,129,Low
Type of internet connection used: hyperfibre,Other professional scientific,2,total,B0403,177,Low
Type of internet connection used: hyperfibre,Administrative & support services,1,total,B0403,66,Low
Type of internet connection used: hyperfibre,Education & training,1,total,B0403,48,Low
Type of internet connection used: hyperfibre,Health care & social assistance,1,total,B0403,144,Low
Type of internet connection used: hyperfibre,Arts & recreation services,1,total,B0403,12,Low
Type of internet connection used: hyperfibre,Other services,1,total,B0403,54,Low
Type of internet connection used: hyperfibre,total,0,total,B0403,1938,High
Type of internet connection used: cable,total,0,6–19 employees,B0404,744,Low
Type of internet connection used: cable,total,0,20–49 employees,B0404,216,Low
Type of internet connection used: cable,total,0,50–99 employees,B0404,87,Low
Type of internet connection used: cable,total,0,100+ employees,B0404,96,Low
Type of internet connection used: cable,"Agriculture, forestry, & fishing",1,total,B0404,84,Low
Type of internet connection used: cable,Agriculture,2,total,B0404,54,Low
Type of internet connection used: cable,Commercial fishing,2,total,B0404,0,Low
Type of internet connection used: cable,Forestry & logging,2,total,B0404,6,Low
Type of internet connection used: cable,"Agriculture, forestry, & fishing support services",2,total,B0404,24,Low
Type of internet connection used: cable,Mining,1,total,B0404,3,Low
Type of internet connection used: cable,Manufacturing,1,total,B0404,162,Low
Type of internet connection used: cable,"Food, beverage, & tobacco",2,total,B0404,36,Low
Type of internet connection used: cable,"Textile, clothing, footwear, & leather",2,total,B0404,3,Low
Type of internet connection used: cable,Wood & paper product,2,total,B0404,15,Low
Type of internet connection used: cable,"Printing, publishing, & recorded media",2,total,B0404,6,Low
Type of internet connection used: cable,"Petroleum, coal, chemical, & associated product",2,total,B0404,6,Low
Type of internet connection used: cable,Non-metallic mineral product,2,total,B0404,9,Low
Type of internet connection used: cable,Metal product,2,total,B0404,36,Low
Type of internet connection used: cable,Transport and industrial machinery & equipment,2,total,B0404,18,Low
Type of internet connection used: cable,Other machinery & equipment,2,total,B0404,21,Low
Type of internet connection used: cable,Other manufacturing,2,total,B0404,12,Low
Type of internet connection used: cable,"Electricity, gas, water, & waste services",1,total,B0404,9,Low
Type of internet connection used: cable,Construction,1,total,B0404,150,Low
Type of internet connection used: cable,Wholesale trade,1,total,B0404,69,Low
Type of internet connection used: cable,Machinery & equipment wholesaling,2,total,B0404,27,Low
Type of internet connection used: cable,Other wholesale trade,2,total,B0404,39,Low
Type of internet connection used: cable,Retail trade,1,total,B0404,69,Low
Type of internet connection used: cable,Accommodation & food services,1,total,B0404,132,Low
Type of internet connection used: cable,"Transport, postal, & warehousing",1,total,B0404,27,Low
Type of internet connection used: cable,Information media & telecommunications,1,total,B0404,15,Low
Type of internet connection used: cable,Publishing,2,total,B0404,3,Low
Type of internet connection used: cable,Motion picture,2,total,B0404,3,Low
Type of internet connection used: cable,Telecommunications,2,total,B0404,9,Low
Type of internet connection used: cable,Financial & insurance services,1,total,B0404,24,Low
Type of internet connection used: cable,Finance,2,total,B0404,6,Low
Type of internet connection used: cable,Insurance,2,total,B0404,6,Low
Type of internet connection used: cable,Auxiliary,2,total,B0404,15,Low
Type of internet connection used: cable,"Rental, hiring, & real estate services",1,total,B0404,36,Low
Type of internet connection used: cable,"Professional, scientific, & technical services",1,total,B0404,126,Low
