description,industry,level,size,line_code,value,standard
Type of internet connection used: DSL,Health care & social assistance,1,total,B0401,447,Low
Type of internet connection used: DSL,Arts & recreation services,1,total,B0401,84,Low
Type of internet connection used: DSL,Other services,1,total,B0401,162,Low
Type of internet connection used: DSL,total,0,total,B0401,6996,High
Type of internet connection used: fibre to the premise,total,0,6–19 employees,B0402,20415,High
Type of internet connection used: fibre to the premise,total,0,20–49 employees,B0402,5781,High
Type of internet connection used: fibre to the premise,total,0,50–99 employees,B0402,1830,High
Type of internet connection used: fibre to the premise,total,0,100+ employees,B0402,1503,High
Type of internet connection used: fibre to the premise,"Agriculture, forestry, & fishing",1,total,B0402,741,Low
Type of internet connection used: fibre to the premise,Agriculture,2,total,B0402,408,Low
Type of internet connection used: fibre to the premise,Commercial fishing,2,total,B0402,24,Low
Type of internet connection used: fibre to the premise,Forestry & logging,2,total,B0402,60,Low
Type of internet connection used: fibre to the premise,"Agriculture, forestry, & fishing support services",2,total,B0402,252,Low
Type of internet connection used: fibre to the premise,Mining,1,total,B0402,48,Low
Type of internet connection used: fibre to the premise,Manufacturing,1,total,B0402,3666,High
Type of internet connection used: fibre to the premise,"Food, beverage, & tobacco",2,total,B0402,696,Low
Type of internet connection used: fibre to the premise,"Textile, clothing, footwear, & leather",2,total,B0402,171,Low
Type of internet connection used: fibre to the premise,Wood & paper product,2,total,B0402,333,Low
